metric,lightgbm,tst,crossmamba,ensemble
Annual Return,0.05139242129810828,0.07391359767813732,0.16169635847183872,0.14725136404891948
Volatility,0.07654530933034599,0.07244358195581303,0.07707713515350947,0.07577220016763907
Sharpe Ratio,0.6713986138893019,1.0202917288146194,2.0978509018438443,1.9433426017683706
Sortino Ratio,1.0948038096184054,1.6780999999546173,3.6120557863610676,3.229353881024063
Max Drawdown,-0.12894923776597422,-0.10697901863420567,-0.05933780441321379,-0.10563287400616062
Calmar Ratio,0.39854766265390484,0.6909167022900417,2.7250137213653582,1.3939917047075192
Win Rate,0.5049875311720698,0.529925187032419,0.5324189526184538,0.5486284289276808
Profit Factor,1.118112486923115,1.175301451880848,1.3724170243274652,1.3482395977748847
Avg Rank IC,0.10321286825265759,,,
IC Info Ratio,0.8560058271600627,,,
Total Return,0.17291752138769767,0.2547614223059378,0.6112386520041762,0.5483381225553516
