metric,lightgbm,tst,crossmamba,ensemble
Annual Return,0.2140778608483096,0.2973026609571432,0.3024077062894648,0.28526426473951005
Volatility,0.13697741674342545,0.12857046848300602,0.12796841413879642,0.13644457478924688
Sharpe Ratio,1.5628696343471409,2.312371117110213,2.3631431607024322,2.09069685821633
Sortino Ratio,2.455236447352764,3.834476365395357,3.9658048540857345,3.490346190314979
Max Drawdown,-0.20248561478271865,-0.09313469045313161,-0.09204290051769226,-0.15435432470028765
Calmar Ratio,1.0572496742819657,3.192179279158744,3.2855078635451966,1.8481130788676092
Win Rate,0.5423940149625935,0.559850374064838,0.543640897755611,0.5523690773067331
Profit Factor,1.2747806179525338,1.3995753476956194,1.420170357864617,1.3667832882475974
Avg Rank IC,0.10321286825265759,,,
IC Info Ratio,0.8560058271600627,,,
Total Return,0.8540351161858175,1.289593857567188,1.3183913347862966,1.2226585067747826
