,0
earn_earnings_day_return,79.0
pv_vol_63d,60.666666666666664
pv_cs_vol_63d,54.666666666666664
pv_cs_dist_from_252d_high,51.666666666666664
pv_vol_21d,51.333333333333336
pv_amihud_21d,44.0
pv_macd_hist,43.333333333333336
pv_cs_mom_63d,43.0
pv_cs_mom_accel_63d,42.333333333333336
pv_cs_amihud_21d,41.333333333333336
fund_log_mcap,40.333333333333336
pv_dist_from_252d_high,39.0
pv_mom_accel_63d,39.0
fund_cs_rank_earn_q_growth,38.333333333333336
pv_dist_from_63d_high,37.333333333333336
pv_cs_bb_width,37.0
pv_log_dollar_vol_10d,36.333333333333336
pv_mom_63d,36.0
pv_bb_width,33.666666666666664
pv_cs_dist_from_63d_high,33.0
pv_cs_vol_21d,32.666666666666664
pv_cs_macd_hist,32.333333333333336
pv_vol_10d,31.333333333333332
fund_cs_rank_target_upside,29.333333333333332
fund_beta,29.0
pv_cs_log_dollar_vol_10d,28.0
fund_cs_rank_size,27.333333333333332
fund_quality_composite,26.333333333333332
fund_cs_rank_roa,26.333333333333332
fund_cs_rank_rev_growth,26.0
pv_cs_dist_from_21d_high,25.333333333333332
fund_cs_rank_ev_ebitda_yield,24.0
pv_mom_63d_skip1,24.0
fund_target_upside,23.333333333333332
pv_log_dollar_vol_5d,22.333333333333332
fund_value_composite,21.666666666666668
fund_earnings_yield,21.0
pv_cs_vol_10d,21.0
fund_cs_rank_op_margin,20.333333333333332
pv_cs_mom_63d_skip1,20.333333333333332
fund_cs_rank_net_margin,17.666666666666668
fund_cs_rank_current_ratio,17.333333333333332
fund_cs_rank_sales_yield,16.0
fund_sector_rel_value,14.666666666666666
fund_cs_rank_beta,14.666666666666666
fund_cs_rank_earnings_yield,14.0
pv_cs_log_dollar_vol_5d,13.0
fund_cs_rank_earn_growth,9.666666666666666
fund_cs_rank_sector_rel_value,7.666666666666667
pv_cs_vol_5d,7.0
