date,gross_return,tc_cost,net_return,turnover,n_long,n_short,gross_exposure,net_exposure
2023-03-28,-0.003162545535416267,0.0002115300089433037,-0.0033740755443595707,0.17627500745275307,40,40,1.3941747045062782,-1.3183898417423734e-16
2023-03-29,-0.010046458962369666,0.0001980755523542612,-0.010244534514723928,0.1650629602952177,40,40,1.2936663398541675,-3.8163916471489756e-17
2023-03-30,-0.0012159019251816144,0.00020073603627330475,-0.0014166379614549193,0.16728003022775395,40,40,1.321319722332278,7.632783294297951e-17
2023-03-31,-0.00543893126281389,0.0001229761117379284,-0.005561907374551818,0.10248009311494033,40,40,1.323998663261318,1.3877787807814457e-17
2023-04-03,0.00897657013252983,7.578069498036857e-05,0.008900789437549461,0.06315057915030714,40,40,1.3320361970152041,-2.7755575615628914e-17
2023-04-04,0.00735646586919636,0.0001421323460138267,0.007214333523182534,0.1184436216781889,40,40,1.294787194054924,1.3877787807814457e-17
2023-04-05,0.013856269830880914,0.00020704488733655482,0.013649224943544359,0.17253740611379567,40,40,1.2595136511905138,-3.9898639947466563e-17
2023-04-06,0.00040251113672965075,0.00017975468279498,0.00022275645393467076,0.14979556899581667,40,40,1.2837510079692103,-8.326672684688674e-17
2023-04-10,-0.005505689613966019,0.0001363784528959938,-0.0056420680668620125,0.1136487107466615,40,40,1.2939239698095086,0.0
2023-04-11,-0.003984140675537744,0.00019064265095548598,-0.0041747833264932305,0.15886887579623832,40,40,1.2818757733853487,1.3877787807814457e-17
2023-04-12,0.006744315632290337,0.00025192520880490437,0.006492390423485433,0.209937674004087,40,40,1.3112372607019127,3.469446951953614e-17
2023-04-13,-0.0015299116072422787,0.0002842143015877637,-0.0018141259088300425,0.23684525132313639,40,40,1.2811379679904231,-8.326672684688674e-17
2023-04-14,-0.00024468654783145775,0.00020048224145627423,-0.000445168789287732,0.1670685345468952,40,40,1.1325268653896097,-2.7755575615628914e-17
2023-04-17,-0.0016972121532917127,0.00040694551021838195,-0.0021041576635100947,0.33912125851531827,40,40,1.1924027371337946,-4.163336342344337e-17
2023-04-18,0.002163294546238286,0.00034550829936093563,0.0018177862468773504,0.28792358280077973,42,47,1.2276420405808532,-0.0020400383074401984
2023-04-19,-0.0005976381313124496,0.00021631547497509028,-0.0008139536062875399,0.1802628958125752,40,40,1.1808936348288803,8.326672684688674e-17
2023-04-20,0.005092444811922166,0.00022450886305428881,0.004867935948867877,0.18709071921190734,40,40,1.1260776893442022,0.0
2023-04-21,0.0009377292883728075,0.00016484588860199992,0.0007728833997708076,0.13737157383499995,40,40,1.0792650590925965,-8.673617379884035e-17
2023-04-24,0.002978423679949859,0.00019222282813311097,0.002786200851816748,0.16018569011092582,40,40,1.1102702254746388,-5.551115123125783e-17
2023-04-25,0.007568175559388261,0.00026961369350967637,0.007298561865878585,0.22467807792473032,40,40,1.0841480015879554,-4.163336342344337e-17
2023-04-26,-0.0003095745794150593,0.00018288260920315018,-0.0004924571886182094,0.15240217433595848,40,40,1.072169165319619,2.0816681711721685e-17
2023-04-27,-0.0046341996428844725,0.000246239184991598,-0.004880438827876071,0.20519932082633163,40,40,1.057219507745088,-5.551115123125783e-17
2023-04-28,0.00251000371201433,0.00030139477647528643,0.0022086089355390437,0.25116231372940534,40,40,1.152417875844061,-8.326672684688674e-17
2023-05-01,0.0023361726103536726,0.00012134442273739423,0.0022148281876162783,0.10112035228116187,40,40,1.132376935142645,5.551115123125783e-17
2023-05-02,0.0051650844637618435,0.00023587666010906877,0.004929207803652775,0.19656388342422396,40,40,1.135333791985671,1.5959455978986625e-16
2023-05-03,-0.017014464280590794,0.00031463120470579957,-0.017329095485296594,0.2621926705881663,40,40,1.1084786166731124,-1.6653345369377348e-16
2023-05-04,-0.001479076377143067,0.00027943619327116783,-0.0017585125704142348,0.23286349439263987,40,40,1.1163400458428279,6.245004513516506e-17
2023-05-05,0.0034447310002692555,0.0005109406260886939,0.0029337903741805615,0.42578385507391153,40,40,1.1641394918405188,-2.7755575615628914e-17
2023-05-08,-0.0025485742219908476,0.0007115423144214933,-0.003260116536412341,0.5929519286845778,61,56,0.9083097814685342,0.0007883850949027202
2023-05-09,-0.002713812255639405,0.00018548183524029471,-0.0028992940908796998,0.15456819603357894,39,41,0.7318076787029775,0.0013273721659462674
2023-05-10,0.0011857913402096183,0.00012659257522269432,0.001059198764986924,0.10549381268557859,39,40,0.6977424791558797,-0.0015673871847129211
2023-05-11,0.0005955189452273033,9.042326245902234e-05,0.0005050956827682809,0.07535271871585195,40,40,0.6971777904116938,1.734723475976807e-17
2023-05-12,0.0015483741024442611,0.00018240187071508814,0.001365972231729173,0.1520015589292401,40,40,0.709360200175237,2.7755575615628914e-17
2023-05-15,-0.0030863646345522734,0.00016628728337041745,-0.003252651917922691,0.13857273614201454,40,40,0.75080834498961,1.3877787807814457e-17
2023-05-16,0.0017909990395200874,9.836173267615281e-05,0.0016926373068439347,0.08196811056346068,40,40,0.6897147379859525,6.938893903907228e-17
2023-05-17,-0.0069534553194851145,0.0001414753523345773,-0.007094930671819692,0.11789612694548107,40,40,0.696811054601208,3.8163916471489756e-17
2023-05-18,-0.0007974532779805442,0.0001425725154049774,-0.0009400257933855216,0.11881042950414783,39,40,0.6435730695537455,-0.0014761168891674697
2023-05-19,0.0018193175688663082,7.638085352353052e-05,0.0017429367153427777,0.06365071126960876,39,40,0.6102049149901918,-0.0014552139593991343
2023-05-22,-0.0045923187009509125,0.0001386901581243793,-0.004731008859075292,0.11557513177031609,39,40,0.6101048231667046,-0.0014902088377793349
2023-05-23,-0.004730596405479644,9.8494515845475e-05,-0.004829090921325119,0.08207876320456249,39,40,0.6234011463506068,-0.001540926039472278
2023-05-24,0.0026701162855237697,5.8576850558198935e-05,0.002611539434965571,0.04881404213183244,39,40,0.6181627516106203,-0.0015281875443034212
2023-05-25,0.0027966767527408862,0.0003992924879677276,0.0023973842647731585,0.33274373997310636,39,40,0.6354724596989473,-0.0015805040357564052
2023-05-26,-0.0012848028868648418,0.0005597518900665199,-0.0018445547769313617,0.4664599083887666,62,59,0.6925293251030433,0.007547747902587379
